Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Shai Gilgeous-Alexander,26,OKC,PG,44,44,34.4,11.3,21.4,.528,2.0,5.7,.351,9.3,15.7,.592,.574,7.5,8.3,.906,0.9,4.4,5.3,6.0,2.1,1.1,2.7,2.2,32.1,
Giannis Antetokounmpo,30,MIL,PF,37,37,34.8,12.5,20.7,.602,0.1,0.7,.148,12.4,20.0,.618,.604,6.4,10.8,.593,2.2,9.8,12.0,5.8,0.7,1.4,3.5,2.4,31.4,
Nikola Jokić,29,DEN,C,39,39,36.3,11.4,20.1,.566,2.1,4.3,.479,9.3,15.8,.590,.618,5.2,6.4,.810,3.4,9.8,13.1,10.1,1.8,0.6,3.1,2.1,29.9,
LaMelo Ball,23,CHO,PG,30,30,34.1,10.0,23.9,.419,4.2,12.6,.334,5.8,11.3,.513,.507,4.7,5.7,.824,1.0,4.4,5.4,7.5,1.4,0.3,3.8,3.5,28.9,
Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,
Kevin Durant,36,PHO,PF,34,34,35.9,9.8,18.7,.524,2.2,5.7,.394,7.6,13.1,.581,.584,5.3,6.4,.830,0.5,6.0,6.4,4.1,0.8,1.3,3.1,1.7,27.2,
Jayson Tatum,26,BOS,PF,43,43,36.3,9.1,20.1,.454,3.6,10.3,.354,5.5,9.8,.559,.545,5.2,6.6,.795,0.6,8.5,9.0,5.4,1.3,0.5,2.8,2.3,27.1,
Tyrese Maxey,24,PHI,PG,37,37,37.9,9.2,21.4,.432,3.3,9.6,.339,5.9,11.7,.508,.508,4.9,5.7,.863,0.2,3.2,3.5,6.0,2.0,0.4,2.4,2.2,26.6,
Anthony Edwards,23,MIN,SG,45,45,36.7,9.0,20.3,.445,4.2,9.8,.425,4.9,10.5,.463,.547,4.1,5.0,.834,0.7,4.9,5.7,4.4,1.1,0.5,3.4,1.9,26.3,
Jalen Brunson,28,NYK,PG,45,45,35.4,8.9,18.4,.487,2.4,5.9,.397,6.6,12.4,.530,.551,5.7,7.0,.818,0.4,2.5,2.9,7.4,0.9,0.0,2.4,2.2,25.9,
Anthony Davis,31,LAL,C,40,40,34.8,9.5,18.2,.524,0.7,2.3,.304,8.8,15.9,.556,.543,6.1,7.8,.788,2.7,9.1,11.9,3.5,1.3,2.2,2.2,2.0,25.9,
Devin Booker,28,PHO,SG,39,39,36.8,8.3,18.8,.441,2.6,7.8,.337,5.7,11.1,.515,.511,6.2,7.0,.893,1.0,3.0,3.9,6.6,1.2,0.3,2.4,2.2,25.5,
Damian Lillard,34,MIL,PG,36,36,36.2,7.7,17.2,.447,3.4,9.0,.383,4.3,8.2,.517,.547,6.4,6.9,.924,0.6,4.1,4.7,7.3,1.3,0.2,2.9,1.8,25.2,
De'Aaron Fox,27,SAC,PG,42,42,37.2,9.2,19.8,.466,2.0,6.3,.317,7.2,13.5,.535,.516,4.6,5.6,.823,1.0,4.0,5.0,6.2,1.5,0.5,3.1,2.6,25.1,
Cade Cunningham,23,DET,PG,41,41,35.6,9.3,20.5,.455,2.4,6.4,.369,7.0,14.1,.495,.513,3.8,4.6,.821,0.9,5.6,6.5,9.4,1.0,0.8,4.7,2.7,24.9,
Karl-Anthony Towns,29,NYK,C,41,41,34.7,9.0,16.6,.541,2.0,4.8,.431,6.9,11.8,.585,.602,5.0,5.9,.839,3.0,10.9,13.9,3.4,1.0,0.8,2.6,3.5,24.9,
