Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Memphis Grizzlies,47,240.0,45.3,93.1,.486,14.1,37.9,.374,31.1,55.3,.563,18.6,24.1,.774,13.1,34.5,47.6,29.6,9.2,6.1,16.9,21.3,123.3
Cleveland Cavaliers,46,240.0,44.5,89.8,.495,16.2,41.1,.395,28.3,48.7,.580,16.6,21.2,.780,10.3,33.8,44.1,29.0,8.3,4.5,13.0,18.2,121.8
Denver Nuggets,46,242.2,45.3,90.0,.503,11.8,31.0,.381,33.5,59.0,.568,18.2,23.8,.766,11.2,34.5,45.7,31.2,8.5,4.8,14.4,17.4,120.6
New York Knicks,47,241.1,43.8,88.5,.494,13.2,35.0,.378,30.5,53.5,.571,17.0,21.0,.808,10.9,32.6,43.5,27.5,8.0,3.9,13.1,17.1,117.8
Boston Celtics,47,242.7,41.5,90.9,.457,17.7,48.7,.364,23.8,42.2,.564,16.4,20.6,.794,11.1,33.9,45.0,25.4,7.5,5.7,11.8,16.3,117.2
Sacramento Kings,46,242.7,43.3,91.1,.476,12.5,35.9,.350,30.8,55.2,.558,17.6,21.8,.810,10.8,33.9,44.7,26.8,8.0,4.7,13.1,19.7,116.9
Chicago Bulls,47,240.5,43.0,92.1,.466,16.0,43.0,.372,27.0,49.1,.548,14.8,18.6,.796,9.9,36.0,45.8,29.0,7.6,4.7,15.1,17.9,116.7
Oklahoma City Thunder,45,240.0,43.4,91.7,.473,13.7,38.4,.358,29.7,53.3,.557,16.0,19.4,.826,10.2,33.2,43.4,26.0,11.3,5.6,12.0,20.5,116.6
Atlanta Hawks,46,241.6,42.2,92.0,.459,12.8,37.1,.346,29.4,55.0,.535,18.5,23.9,.775,12.3,33.2,45.5,29.2,10.4,5.2,16.3,18.5,115.8
Indiana Pacers,45,241.1,43.3,88.5,.490,12.7,34.1,.372,30.6,54.4,.563,16.2,20.9,.773,9.1,32.7,41.8,28.5,8.4,5.2,13.7,19.2,115.5
Dallas Mavericks,47,240.5,42.0,87.9,.478,13.0,35.2,.370,29.0,52.7,.550,18.3,23.7,.773,10.9,33.8,44.7,25.2,8.1,5.9,14.4,19.1,115.4
Milwaukee Bucks,44,240.6,42.0,86.5,.485,14.2,36.6,.388,27.8,49.9,.556,16.4,22.3,.735,8.3,36.0,44.4,25.2,7.4,5.2,13.8,18.5,114.6
Houston Rockets,45,241.7,42.0,93.5,.450,12.4,35.9,.344,29.7,57.6,.515,17.7,23.6,.752,14.7,33.5,48.2,22.6,9.1,5.1,13.7,19.7,114.2
Phoenix Suns,45,241.1,40.4,85.3,.474,14.0,37.1,.377,26.4,48.2,.549,17.8,22.3,.799,9.3,33.3,42.6,27.1,7.6,4.9,13.9,18.0,112.7
